epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.1789,1.74185,3.21807,1.58393,0.00324,0.98058,0.14605,0.09839,0.79393,3.13009,0.98225,0.091,0.001,0.001
2,7.69217,1.48648,2.86299,1.39415,0.00317,0.96117,0.7385,0.45233,1.10683,2.99773,0.9761,0.0810998,0.00209977,0.00209977
3,11.1994,1.27929,1.91009,1.2028,0.92003,0.6702,0.87388,0.55209,1.11075,2.76069,0.99008,0.0711986,0.00319861,0.00319861
4,14.7624,1.27004,1.52692,1.23041,1,0.06176,0.71493,0.40646,1.28214,3.00812,1.18059,0.0612958,0.0042958,0.0042958
5,18.5159,1.30391,1.48597,1.26135,0.89082,0.15855,0.69414,0.34439,1.36826,2.68798,1.20957,0.0513906,0.00539063,0.00539063
6,21.9662,1.24408,1.31333,1.19535,0.96461,0.5534,0.92686,0.48762,1.49344,2.12161,1.21502,0.0414824,0.00648237,0.00648237
7,25.3707,1.29007,1.35246,1.23225,1,0.22948,0.58958,0.2733,1.76849,2.69368,1.53638,0.0315703,0.00757034,0.00757034
8,28.7885,1.32574,1.33461,1.25377,0.8514,0.16505,0.58768,0.32228,1.5473,2.55388,1.24025,0.0216538,0.0086538,0.0086538
9,32.2187,1.26776,1.24539,1.2289,0.97411,0.73052,0.92096,0.55861,1.32825,1.7545,1.13319,0.0117321,0.00973207,0.00973207
10,35.6562,1.30444,1.34641,1.28687,0.73153,0.37864,0.50803,0.23204,1.72337,2.35155,1.38523,0.00991232,0.00991232,0.00991232
11,38.9969,1.38767,1.34923,1.32661,0.68346,0.46122,0.48998,0.27028,1.74636,2.16002,1.39801,0.00989183,0.00989183,0.00989183
12,42.3141,1.35814,1.34074,1.30866,0.91097,0.6699,0.80585,0.42855,1.5857,1.46563,1.35632,0.00986922,0.00986922,0.00986922
13,45.6319,1.3183,1.26696,1.29104,0.78064,0.60194,0.72633,0.43802,1.43833,1.59693,1.26301,0.00984449,0.00984449,0.00984449
14,48.9357,1.35747,1.25552,1.29662,0.73939,0.63356,0.66986,0.40888,1.53637,1.75898,1.40117,0.00981765,0.00981765,0.00981765
15,52.2172,1.3579,1.27992,1.31992,0.36955,0.50485,0.388,0.24752,1.41003,2.12482,1.29438,0.00978873,0.00978873,0.00978873
16,55.5553,1.3093,1.25197,1.30424,0.67069,0.46602,0.59551,0.31558,1.52287,1.88842,1.39068,0.00975773,0.00975773,0.00975773
17,58.8444,1.31896,1.21862,1.2844,0.83968,0.71191,0.7667,0.44646,1.40776,1.422,1.21564,0.00972466,0.00972466,0.00972466
18,62.282,1.29453,1.15924,1.24596,0.83106,0.76416,0.84153,0.54873,1.25501,1.17723,1.15572,0.00968955,0.00968955,0.00968955
19,65.6442,1.2869,1.12175,1.27698,0.82173,0.85029,0.8968,0.54557,1.25001,1.70515,1.21486,0.00965239,0.00965239,0.00965239
20,68.9693,1.32428,1.13488,1.26871,0.92376,0.8932,0.93375,0.61435,1.24423,1.0196,1.2138,0.00961322,0.00961322,0.00961322
21,72.4541,1.35187,1.20968,1.29117,0.90828,0.82524,0.89974,0.58302,1.24124,1.0263,1.19174,0.00957205,0.00957205,0.00957205
22,75.7759,1.27457,1.0759,1.28815,0.88917,0.81553,0.86734,0.50216,1.44907,1.07868,1.35086,0.00952889,0.00952889,0.00952889
23,79.1289,1.25078,1.04668,1.22527,0.90468,0.8932,0.94182,0.59204,1.20044,0.8601,1.13886,0.00948377,0.00948377,0.00948377
24,82.4537,1.30052,1.08598,1.26951,0.90751,0.91262,0.95534,0.6302,1.17995,0.89767,1.15927,0.00943671,0.00943671,0.00943671
25,85.8183,1.26019,1.08103,1.26988,0.91382,0.8835,0.95022,0.54363,1.53173,1.21768,1.34284,0.00938772,0.00938772,0.00938772
26,89.1453,1.26237,1.04902,1.26351,0.91142,0.91262,0.95927,0.6255,1.17606,1.15259,1.12034,0.00933683,0.00933683,0.00933683
27,92.4953,1.26088,1.04358,1.25904,0.87346,0.8835,0.90834,0.5559,1.40275,1.11347,1.21995,0.00928405,0.00928405,0.00928405
28,95.8323,1.21228,1.032,1.26127,0.95531,0.94175,0.959,0.55777,1.47322,0.9585,1.27794,0.00922942,0.00922942,0.00922942
29,99.1064,1.1934,1.02737,1.24779,0.89676,0.85437,0.90406,0.57624,1.31787,1.02139,1.232,0.00917296,0.00917296,0.00917296
30,102.438,1.22953,1.03193,1.28585,0.91554,0.84191,0.90606,0.48277,1.47819,1.20073,1.32907,0.00911469,0.00911469,0.00911469
31,105.73,1.22347,0.98709,1.25742,0.94589,0.90291,0.96698,0.59257,1.28241,0.82133,1.16908,0.00905463,0.00905463,0.00905463
32,109.025,1.18819,0.95056,1.22704,0.96101,0.90291,0.9641,0.64902,1.1898,0.75576,1.12892,0.00899282,0.00899282,0.00899282
33,112.385,1.16455,0.90278,1.22943,0.94143,0.93636,0.96779,0.60355,1.37641,0.77311,1.18665,0.00892928,0.00892928,0.00892928
34,115.692,1.16717,0.91147,1.22808,0.97674,0.92233,0.95669,0.59202,1.40253,0.92655,1.2324,0.00886404,0.00886404,0.00886404
35,118.998,1.20217,0.9708,1.23829,0.95305,0.93204,0.96538,0.66878,1.19045,0.75137,1.15763,0.00879713,0.00879713,0.00879713
36,122.415,1.22793,0.98678,1.27288,0.96422,0.93204,0.97482,0.64962,1.15733,0.70225,1.10555,0.00872857,0.00872857,0.00872857
37,125.741,1.15745,0.91318,1.21043,0.94927,0.91262,0.9538,0.61662,1.21942,0.82657,1.14601,0.00865839,0.00865839,0.00865839
38,129.185,1.15664,0.91038,1.20719,0.94979,0.91822,0.95958,0.63743,1.17212,0.81417,1.12078,0.00858664,0.00858664,0.00858664
39,132.467,1.12955,0.90449,1.19053,0.94372,0.97673,0.9867,0.61869,1.1978,0.72468,1.0868,0.00851333,0.00851333,0.00851333
40,135.857,1.17603,0.88198,1.226,0.93205,0.93218,0.96576,0.60079,1.24784,0.7647,1.13421,0.00843851,0.00843851,0.00843851
41,139.137,1.20566,0.92521,1.24405,0.94062,0.92278,0.96847,0.60451,1.30691,0.73608,1.16027,0.0083622,0.0083622,0.0083622
42,142.492,1.12125,0.91629,1.20734,0.93199,0.79827,0.87307,0.53665,1.28105,0.9753,1.23789,0.00828443,0.00828443,0.00828443
43,145.782,1.11849,0.90017,1.21479,0.90924,0.8754,0.95206,0.66826,1.00555,0.7668,1.01819,0.00820525,0.00820525,0.00820525
44,149.108,1.11688,0.89391,1.20071,0.94505,0.8835,0.94795,0.65265,1.10563,0.76128,1.08099,0.00812468,0.00812468,0.00812468
45,152.437,1.14615,0.88714,1.18828,0.96105,0.95817,0.9854,0.67928,1.10972,0.69338,1.04912,0.00804277,0.00804277,0.00804277
46,155.849,1.15599,0.88384,1.21755,0.94349,0.97251,0.99009,0.72276,1.01066,0.57959,1.00505,0.00795954,0.00795954,0.00795954
47,159.222,1.12376,0.86236,1.1953,0.94616,0.96117,0.97066,0.60662,1.30928,0.69132,1.12939,0.00787503,0.00787503,0.00787503
48,162.537,1.15945,0.87664,1.21408,0.9702,0.94826,0.98532,0.73012,0.93837,0.5834,0.98928,0.00778929,0.00778929,0.00778929
49,165.903,1.11353,0.82535,1.18421,0.96815,0.92233,0.96435,0.68791,1.06481,0.72005,1.05515,0.00770234,0.00770234,0.00770234
50,169.252,1.0886,0.82334,1.18064,0.95652,0.95146,0.97937,0.70503,0.97392,0.6231,1.02052,0.00761423,0.00761423,0.00761423
51,172.543,1.05832,0.80369,1.15547,0.97104,0.97651,0.98389,0.71065,1.00098,0.65266,1.02426,0.007525,0.007525,0.007525
52,175.855,1.10028,0.82888,1.18399,0.97033,0.95265,0.98243,0.63738,1.23226,0.73943,1.12003,0.00743468,0.00743468,0.00743468
53,179.186,1.07395,0.81834,1.1766,0.96276,0.95146,0.98389,0.61876,1.32581,0.7147,1.16013,0.00734332,0.00734332,0.00734332
54,182.514,1.10922,0.80539,1.16973,0.95021,0.95146,0.95666,0.58391,1.47651,0.72667,1.23937,0.00725094,0.00725094,0.00725094
55,185.88,1.05421,0.80454,1.16558,0.96035,0.94054,0.96228,0.60672,1.35884,0.72093,1.18146,0.00715761,0.00715761,0.00715761
56,189.231,1.07631,0.82388,1.19672,0.95283,0.98049,0.97947,0.62675,1.2414,0.69309,1.09634,0.00706335,0.00706335,0.00706335
57,192.564,1.11688,0.82932,1.2017,0.95217,0.96638,0.97938,0.7292,0.97372,0.67778,1.0218,0.0069682,0.0069682,0.0069682
58,195.913,1.11359,0.84827,1.18134,0.97919,0.92233,0.98389,0.72779,0.98986,0.65221,1.01721,0.00687222,0.00687222,0.00687222
59,199.244,1.0539,0.78585,1.14104,0.95739,0.95146,0.98539,0.70944,0.97903,0.62145,0.99786,0.00677543,0.00677543,0.00677543
60,202.542,1.04969,0.75987,1.15968,0.9604,0.94186,0.97828,0.65815,1.09271,0.62442,1.03865,0.00667789,0.00667789,0.00667789
61,205.835,1.01486,0.77295,1.15625,0.96028,0.93888,0.97054,0.68817,1.05215,0.6573,1.04999,0.00657963,0.00657963,0.00657963
62,209.158,1.11558,0.82276,1.1865,0.9496,0.97087,0.98177,0.70552,1.03032,0.57847,1.03721,0.00648071,0.00648071,0.00648071
63,212.503,1.09536,0.81508,1.18207,0.95259,0.97548,0.97988,0.71113,1.0307,0.56548,1.02139,0.00638115,0.00638115,0.00638115
64,215.821,0.96247,0.74081,1.10689,0.98039,0.97066,0.97647,0.73784,0.86999,0.54162,0.96925,0.00628101,0.00628101,0.00628101
65,219.212,1.04983,0.77595,1.15617,0.96189,0.98026,0.98005,0.7341,0.89833,0.56074,0.9931,0.00618034,0.00618034,0.00618034
66,222.539,1.04384,0.74427,1.13997,0.96136,0.96636,0.97297,0.73144,0.94397,0.54773,1.0007,0.00607916,0.00607916,0.00607916
67,225.885,1.05955,0.78044,1.16896,0.97675,0.97087,0.97724,0.73289,0.93541,0.52225,1.00503,0.00597754,0.00597754,0.00597754
68,229.235,1.00995,0.73326,1.1389,0.97952,0.98058,0.98882,0.7262,0.96272,0.5572,0.99265,0.00587551,0.00587551,0.00587551
69,232.623,1.00958,0.74054,1.15141,0.9747,0.98058,0.9873,0.71844,1.00359,0.53744,0.99807,0.00577311,0.00577311,0.00577311
70,235.977,1.03205,0.77446,1.14837,0.94897,0.98058,0.98405,0.7113,1.0254,0.55707,1.01258,0.0056704,0.0056704,0.0056704
71,239.341,1.02463,0.71875,1.13391,0.96022,0.97087,0.97606,0.72031,0.98892,0.55639,1.01897,0.00556742,0.00556742,0.00556742
72,242.722,0.98871,0.7196,1.11894,0.96183,0.97859,0.98288,0.73722,0.93879,0.51804,0.9846,0.00546421,0.00546421,0.00546421
73,246.186,1.01107,0.74027,1.15956,0.9714,0.98924,0.98498,0.7551,0.92229,0.52318,0.9812,0.00536081,0.00536081,0.00536081
74,249.713,1.0034,0.71975,1.12438,0.96974,0.98058,0.98226,0.67178,1.20338,0.56488,1.08484,0.00525728,0.00525728,0.00525728
75,253.019,1.05629,0.74112,1.15374,0.96178,0.9774,0.98176,0.7175,1.05759,0.57718,1.03348,0.00515366,0.00515366,0.00515366
76,256.387,0.95605,0.68841,1.13078,0.98817,0.96117,0.98738,0.72518,1.01098,0.55443,0.98802,0.00505,0.00505,0.00505
77,259.769,1.00845,0.71514,1.13681,0.99003,0.96446,0.99005,0.72784,0.97914,0.53612,0.98726,0.00494634,0.00494634,0.00494634
78,263.096,1.01007,0.72892,1.13382,0.96045,0.98058,0.98995,0.74822,0.88929,0.50608,0.9572,0.00484272,0.00484272,0.00484272
79,266.424,0.96734,0.69093,1.11656,0.97053,0.98058,0.99093,0.75458,0.8604,0.5077,0.94579,0.00473919,0.00473919,0.00473919
80,269.942,0.96464,0.66592,1.11839,0.97114,0.98024,0.98674,0.71409,1.0398,0.54035,1.00776,0.00463579,0.00463579,0.00463579
81,273.273,0.95322,0.68271,1.09081,0.979,0.98058,0.98644,0.70896,1.01325,0.52496,0.9887,0.00453258,0.00453258,0.00453258
82,276.625,1.00413,0.69576,1.13317,0.97081,0.9686,0.97983,0.72232,0.98877,0.53032,0.98149,0.0044296,0.0044296,0.0044296
83,279.92,0.99417,0.68587,1.1286,0.979,0.98058,0.98371,0.74577,0.95115,0.50546,0.95808,0.00432689,0.00432689,0.00432689
84,283.306,0.95712,0.69113,1.09484,0.95064,0.96117,0.97005,0.73028,0.96508,0.50742,0.96329,0.00422449,0.00422449,0.00422449
85,286.661,0.96899,0.67906,1.10376,0.96085,0.97087,0.97343,0.69766,1.07591,0.52532,1.0221,0.00412246,0.00412246,0.00412246
86,290.001,0.98495,0.66119,1.10414,0.96122,0.96265,0.9747,0.70845,1.00902,0.5183,1.01694,0.00402084,0.00402084,0.00402084
87,293.394,0.93744,0.66982,1.11127,0.98704,0.98058,0.98978,0.72838,0.98694,0.5,1.00785,0.00391966,0.00391966,0.00391966
88,296.748,0.93698,0.66978,1.10937,0.9857,0.97087,0.98616,0.73038,0.97502,0.49526,1.00117,0.00381899,0.00381899,0.00381899
89,300.071,0.9463,0.66487,1.10961,0.96839,0.97087,0.9798,0.73123,0.96805,0.48261,0.97743,0.00371885,0.00371885,0.00371885
90,303.504,0.9441,0.65966,1.10588,0.9684,0.97087,0.97894,0.7221,1.01435,0.48894,1.0155,0.00361929,0.00361929,0.00361929
91,306.831,0.95638,0.66739,1.12119,0.97935,0.97087,0.98361,0.72709,0.98312,0.49821,1.01213,0.00352037,0.00352037,0.00352037
92,310.198,0.91747,0.62345,1.09944,0.98017,0.95998,0.97617,0.74927,0.90768,0.4864,0.98525,0.00342211,0.00342211,0.00342211
93,313.6,0.91683,0.64568,1.07323,0.97783,0.97087,0.97729,0.76761,0.83448,0.46435,0.9537,0.00332457,0.00332457,0.00332457
94,317.027,0.88699,0.64065,1.07987,0.97917,0.98058,0.98686,0.75921,0.86707,0.4553,0.96021,0.00322778,0.00322778,0.00322778
95,320.505,0.92448,0.64301,1.08926,0.96186,0.97942,0.98476,0.76165,0.85203,0.46006,0.94534,0.0031318,0.0031318,0.0031318
96,323.819,0.89896,0.65094,1.08458,0.98543,0.96117,0.98391,0.74731,0.91672,0.45221,0.95579,0.00303665,0.00303665,0.00303665
97,327.166,0.87391,0.62159,1.085,0.97972,0.97087,0.97934,0.76286,0.84306,0.46214,0.95614,0.00294239,0.00294239,0.00294239
98,330.5,0.90318,0.62892,1.0803,0.97639,0.97087,0.97874,0.75908,0.8454,0.45947,0.94291,0.00284906,0.00284906,0.00284906
99,333.915,0.87164,0.60306,1.06673,0.9714,0.9894,0.98709,0.77216,0.84261,0.45251,0.93081,0.00275668,0.00275668,0.00275668
100,337.317,0.90904,0.66912,1.08078,0.96961,0.99029,0.98879,0.78144,0.79243,0.43868,0.91945,0.00266532,0.00266532,0.00266532
101,340.777,0.91663,0.64033,1.07006,0.98095,0.97087,0.99265,0.78122,0.76727,0.43556,0.92194,0.002575,0.002575,0.002575
102,344.247,0.87953,0.614,1.07553,0.97698,0.97087,0.98329,0.79419,0.77601,0.44332,0.92927,0.00248577,0.00248577,0.00248577
103,347.642,0.91383,0.63109,1.09797,0.9696,0.98058,0.97977,0.79016,0.79073,0.44329,0.9292,0.00239766,0.00239766,0.00239766
104,350.999,0.90272,0.60667,1.06339,0.96863,0.97087,0.97831,0.78464,0.75908,0.44843,0.92273,0.00231071,0.00231071,0.00231071
105,354.391,0.87831,0.58653,1.06424,0.9831,0.95146,0.98156,0.78569,0.76715,0.44589,0.92017,0.00222497,0.00222497,0.00222497
106,357.753,0.86499,0.59724,1.06141,0.97894,0.96117,0.98604,0.79674,0.77771,0.42425,0.92531,0.00214046,0.00214046,0.00214046
107,361.213,0.88813,0.586,1.06079,0.98735,0.95146,0.98767,0.79445,0.81231,0.44015,0.93303,0.00205723,0.00205723,0.00205723
108,364.562,0.83469,0.59258,1.0593,0.97819,0.97087,0.99002,0.80177,0.74678,0.4294,0.91099,0.00197532,0.00197532,0.00197532
109,367.996,0.86171,0.5857,1.06181,0.98998,0.95913,0.9883,0.78256,0.83397,0.4477,0.92889,0.00189475,0.00189475,0.00189475
110,371.529,0.81571,0.57681,1.03066,0.97086,0.97038,0.98576,0.79419,0.79061,0.4278,0.91246,0.00181557,0.00181557,0.00181557
111,375.23,0.8658,0.58899,1.05347,0.98994,0.95586,0.98613,0.80829,0.75599,0.42922,0.90916,0.0017378,0.0017378,0.0017378
112,378.907,0.85292,0.57488,1.07157,0.98989,0.95083,0.98451,0.79608,0.80142,0.44248,0.92158,0.00166149,0.00166149,0.00166149
113,382.525,0.81103,0.55142,1.04039,0.98986,0.94815,0.98412,0.79976,0.78387,0.43429,0.91621,0.00158667,0.00158667,0.00158667
114,386.118,0.85457,0.55958,1.05539,0.98017,0.95976,0.98401,0.80048,0.76057,0.43323,0.91156,0.00151336,0.00151336,0.00151336
115,389.657,0.82303,0.53526,1.04675,0.97955,0.96117,0.98486,0.79877,0.783,0.43275,0.91825,0.00144161,0.00144161,0.00144161
116,393.31,0.81299,0.56284,1.0447,0.96863,0.96117,0.98425,0.78949,0.81754,0.43186,0.9297,0.00137143,0.00137143,0.00137143
117,396.874,0.86345,0.59902,1.0802,0.97082,0.96907,0.98459,0.78856,0.77947,0.42607,0.92263,0.00130287,0.00130287,0.00130287
118,400.465,0.81776,0.55435,1.04245,0.98998,0.95934,0.98016,0.78562,0.78926,0.4358,0.91743,0.00123596,0.00123596,0.00123596
119,404.017,0.87818,0.59594,1.06655,0.98002,0.95237,0.98143,0.78834,0.78949,0.43634,0.91921,0.00117072,0.00117072,0.00117072
120,407.664,0.79175,0.55713,1.04901,0.98019,0.96074,0.98085,0.79872,0.74126,0.42053,0.91394,0.00110718,0.00110718,0.00110718
121,411.222,0.83457,0.55952,1.05846,0.97986,0.96117,0.97844,0.79984,0.76053,0.41753,0.92487,0.00104537,0.00104537,0.00104537
122,414.61,0.82159,0.56402,1.04593,0.9802,0.96112,0.97547,0.79785,0.77376,0.4228,0.92536,0.000985311,0.000985311,0.000985311
123,418.011,0.81431,0.56464,1.06051,0.98031,0.97087,0.98464,0.79574,0.79537,0.43413,0.91676,0.00092704,0.00092704,0.00092704
124,421.366,0.80598,0.55796,1.04978,0.9784,0.97087,0.98327,0.79657,0.79213,0.42746,0.92208,0.000870577,0.000870577,0.000870577
125,424.698,0.8061,0.55952,1.05941,0.97796,0.97087,0.9831,0.7948,0.79337,0.42837,0.92544,0.000815947,0.000815947,0.000815947
126,428.033,0.79288,0.54718,1.03094,0.98789,0.97087,0.98226,0.80434,0.77418,0.42525,0.92315,0.000763174,0.000763174,0.000763174
127,431.393,0.81055,0.53358,1.03533,0.99009,0.96989,0.9823,0.8171,0.73744,0.4218,0.9191,0.000712282,0.000712282,0.000712282
128,434.891,0.785,0.52448,1.04576,0.97906,0.97087,0.98249,0.81298,0.76154,0.42148,0.92432,0.000663292,0.000663292,0.000663292
129,438.197,0.77344,0.52981,1.01867,0.99008,0.9689,0.98389,0.81222,0.76172,0.41913,0.92317,0.000616227,0.000616227,0.000616227
130,441.596,0.82622,0.56564,1.05396,0.98938,0.97087,0.98362,0.8139,0.73398,0.41585,0.91501,0.000571106,0.000571106,0.000571106
131,444.95,0.754,0.51492,1.01259,0.99008,0.96914,0.98422,0.81402,0.73529,0.40956,0.90978,0.00052795,0.00052795,0.00052795
132,448.313,0.77801,0.53634,1.02886,0.97884,0.97087,0.98428,0.81466,0.73326,0.41286,0.90722,0.000486777,0.000486777,0.000486777
133,451.73,0.81359,0.55411,1.05922,0.97919,0.97087,0.98318,0.81144,0.74394,0.4191,0.91031,0.000447606,0.000447606,0.000447606
134,455.162,0.78201,0.53624,1.02125,0.97931,0.97087,0.98306,0.81236,0.75166,0.41801,0.91292,0.000410454,0.000410454,0.000410454
135,458.534,0.79141,0.54088,1.05113,0.98714,0.96117,0.98226,0.81126,0.73152,0.41699,0.90409,0.000375337,0.000375337,0.000375337
136,461.842,0.75721,0.54102,1.02492,0.97978,0.97087,0.98153,0.81659,0.71266,0.41552,0.9029,0.00034227,0.00034227,0.00034227
137,465.225,0.73735,0.52294,1.02168,0.97986,0.97087,0.98284,0.8162,0.70905,0.41579,0.90108,0.000311268,0.000311268,0.000311268
138,468.587,0.79923,0.54064,1.03342,0.97962,0.97087,0.98539,0.8202,0.72039,0.41311,0.90163,0.000282345,0.000282345,0.000282345
139,472.079,0.79288,0.54396,1.04016,0.97922,0.97087,0.98598,0.81795,0.73358,0.41221,0.90404,0.000255513,0.000255513,0.000255513
140,475.442,0.78989,0.5232,1.03444,0.99007,0.96809,0.98588,0.81298,0.73331,0.40876,0.8946,0.000230784,0.000230784,0.000230784
141,504.001,0.64186,0.42183,0.93121,0.99007,0.9685,0.9875,0.81047,0.73037,0.40633,0.8915,0.000208169,0.000208169,0.000208169
142,507.315,0.62064,0.40466,0.90674,0.99006,0.96734,0.98645,0.80743,0.72253,0.40759,0.89079,0.000187678,0.000187678,0.000187678
143,510.554,0.59125,0.37506,0.90661,0.98821,0.96117,0.98162,0.81033,0.70417,0.409,0.88777,0.00016932,0.00016932,0.00016932
144,513.861,0.6157,0.38951,0.92402,0.98857,0.96117,0.98119,0.80759,0.70049,0.41053,0.88785,0.000153102,0.000153102,0.000153102
145,517.113,0.58737,0.37929,0.89783,0.98773,0.96117,0.98078,0.80924,0.69986,0.41175,0.88713,0.000139032,0.000139032,0.000139032
146,520.394,0.60608,0.39311,0.92179,0.98666,0.96117,0.98119,0.80289,0.71231,0.41006,0.88809,0.000127117,0.000127117,0.000127117
147,523.707,0.58946,0.37013,0.91476,0.98554,0.96117,0.98183,0.80409,0.72821,0.41055,0.89073,0.00011736,0.00011736,0.00011736
148,527.079,0.60305,0.3733,0.90405,0.98472,0.96117,0.98277,0.80185,0.74265,0.4104,0.89267,0.000109768,0.000109768,0.000109768
149,530.32,0.60759,0.37005,0.90213,0.98478,0.96117,0.98306,0.80032,0.74508,0.4102,0.89289,0.000104342,0.000104342,0.000104342
150,533.582,0.61723,0.38176,0.91487,0.98441,0.96117,0.98303,0.80103,0.72635,0.40991,0.8908,0.000101086,0.000101086,0.000101086
