epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.24022,2.19239,9.85917,0.71937,2.42021,2.51437,0.27867,0.37634,0.25034,0.13629,0,0,0,0,1.55525,10.8316,0.68888,2.31087,2.27957,0.091,0.001,0.001
2,16.5841,1.61993,9.87677,0.71986,1.24382,2.03111,0.86461,0.89266,0.91205,0.38466,0,0,0,0,1.96386,10.7782,0.68923,1.04431,2.86201,0.0810996,0.00209964,0.00209964
3,24.9273,1.31035,9.58713,0.71703,0.9547,1.74568,0.95474,0.89247,0.94237,0.49284,0,0,0,0,1.69574,10.6147,0.69383,0.91119,2.50994,0.0711978,0.00319783,0.00319783
4,33.2779,1.19689,9.20085,0.71131,0.89684,1.64669,0.91262,0.89846,0.93694,0.5203,0,0,0,0,1.5593,9.98127,0.65655,1.0349,2.3952,0.0612934,0.00429344,0.00429344
5,41.5772,1.22935,8.76867,0.70583,0.89251,1.69412,0.89783,0.90323,0.9656,0.48165,0,0,0,0,1.59488,9.4099,0.61685,1.30098,2.44683,0.0513854,0.00538536,0.00538536
6,49.5528,1.11554,8.07913,0.70256,0.82647,1.5793,0.95234,0.92473,0.96314,0.61315,0.00565,0.01075,0.00025,3e-05,1.22334,8.41689,0.62936,0.85593,1.85199,0.0414725,0.00647247,0.00647247
7,57.8067,1.18343,7.70624,0.69994,0.83718,1.62282,0.88557,0.97849,0.97772,0.69712,0.01304,0.01075,0.00092,0.0002,1.1239,8.1608,0.6381,0.80293,1.78191,0.0315537,0.00755368,0.00755368
8,66.1097,1.20357,7.36832,0.69357,0.8791,1.65321,0.94597,0.94139,0.95526,0.54189,0,0,0,0,1.51872,8.51847,0.62105,0.74927,2.41711,0.0216279,0.00862789,0.00862789
9,74.0528,1.23982,7.31675,0.68274,0.90031,1.65364,0.93769,0.97849,0.96761,0.51971,0,0,0,0,1.48131,9.00147,0.68714,0.89016,2.35623,0.011694,0.00969399,0.00969399
10,82.065,1.23862,6.93737,0.68096,0.94334,1.6887,0.78014,0.91398,0.84528,0.40915,0.01979,0.03226,0.00145,0.00018,1.70553,8.90497,0.71366,1.29925,2.75679,0.00986323,0.00986323,0.00986323
11,90.0458,1.2228,6.72239,0.67222,0.91142,1.64629,0.92441,0.83871,0.94398,0.46932,0,0,0,0,1.62465,9.6991,0.72102,1.90454,2.71376,0.00983133,0.00983133,0.00983133
12,98.0571,1.2199,6.3372,0.66228,0.93389,1.66324,0.82861,0.80645,0.82546,0.37942,0.0347,0.04301,0.00294,0.00029,1.82589,8.60353,0.63187,1.30749,3.16112,0.00979616,0.00979616,0.00979616
13,106.05,1.22221,6.43312,0.65498,0.9233,1.67975,0.80259,0.7957,0.77369,0.29597,0.01067,0.01075,0.00056,0.0002,2.04569,8.69606,0.71133,1.65968,3.8681,0.00975773,0.00975773,0.00975773
14,114.11,1.178,6.15382,0.65211,0.94133,1.64305,0.75395,0.75785,0.75853,0.30264,0,0,0,0,2.07218,9.49862,0.7416,1.63873,3.78537,0.00971608,0.00971608,0.00971608
15,122.115,1.28859,6.30012,0.65026,0.99983,1.72927,0.85226,0.8684,0.87048,0.50574,0.03715,0.03226,0.00217,0.0003,1.41818,7.79861,0.68233,1.00311,2.24019,0.00967122,0.00967122,0.00967122
16,130.148,1.26324,6.02974,0.64372,1.02227,1.70765,0.89305,0.89791,0.90593,0.5161,0.07101,0.08602,0.01841,0.00378,1.38092,6.99009,0.67638,0.99085,2.13737,0.0096232,0.0096232,0.0096232
17,138.155,1.16439,6.06293,0.63696,0.92435,1.63011,0.81546,0.90281,0.88561,0.51231,0.06834,0.07527,0.00742,0.00148,1.40016,7.39121,0.70623,1.1078,2.11476,0.00957205,0.00957205,0.00957205
18,146.207,1.23298,6.10884,0.6405,1.04485,1.685,0.83518,0.86022,0.88933,0.44639,0.04738,0.05376,0.00449,0.00069,1.56095,8.13801,0.76376,1.67297,2.59205,0.0095178,0.0095178,0.0095178
19,154.199,1.24323,5.98698,0.62424,0.98825,1.68509,0.83355,0.86159,0.92751,0.56854,0.2631,0.24731,0.07974,0.01725,1.29874,6.24757,0.72878,1.21402,2.08503,0.00946048,0.00946048,0.00946048
20,162.221,1.22077,5.96658,0.62543,1.00555,1.6718,0.81289,0.8876,0.90123,0.52573,0.22452,0.10753,0.05515,0.01287,1.31372,7.05496,0.67687,1.32697,2.02573,0.00940014,0.00940014,0.00940014
21,170.272,1.16004,5.71793,0.62484,0.93164,1.62606,0.81754,0.89247,0.90529,0.47554,0.04034,0.05376,0.00435,0.00078,1.52355,7.41767,0.66698,1.49762,2.40187,0.00933683,0.00933683,0.00933683
22,178.399,1.20532,5.8483,0.62176,0.99471,1.65646,0.72915,0.81055,0.80686,0.35942,0.08061,0.05376,0.01105,0.00146,1.86518,7.92906,0.71105,1.58137,3.04619,0.00927057,0.00927057,0.00927057
23,186.418,1.21536,5.78734,0.62066,0.96677,1.67129,0.73695,0.87097,0.84075,0.45438,0.21593,0.24731,0.10349,0.01709,1.51041,6.64916,0.71075,1.32244,2.31582,0.00920142,0.00920142,0.00920142
24,194.463,1.17484,5.61767,0.61546,0.94009,1.61976,0.86849,0.78114,0.89618,0.54717,0.42771,0.35484,0.2586,0.03952,1.3475,5.65909,0.69984,1.30542,2.01924,0.00912942,0.00912942,0.00912942
25,202.527,1.17217,5.57998,0.60891,0.91927,1.62487,0.88779,0.93585,0.97445,0.61404,0.37429,0.39785,0.2404,0.04767,1.23506,5.49226,0.65751,1.03509,1.92406,0.00905463,0.00905463,0.00905463
