epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.08216,1.83418,6.22201,1.8179,0.30398,0.6106,0.31576,0.2073,0.86029,3.6838,1.0807,0.091,0.001,0.001
2,16.0382,1.64077,2.04785,1.69732,0.92252,0.92475,0.95458,0.72038,0.88498,0.72167,1.00907,0.0810995,0.00209949,0.00209949
3,23.9658,1.285,1.04678,1.35668,0.97638,0.90291,0.94884,0.67515,1.07172,0.65535,1.06356,0.0711969,0.00319687,0.00319687
4,31.565,1.16675,0.91901,1.28657,0.96952,0.92651,0.95977,0.63828,1.22962,0.64357,1.14407,0.0612906,0.00429055,0.00429055
5,39.1009,1.20697,0.97507,1.30809,0.87479,0.61165,0.77647,0.48577,1.34115,1.17942,1.24314,0.0513789,0.00537892,0.00537892
6,46.6843,1.16013,0.99145,1.2403,0.93658,0.8835,0.92064,0.48186,1.57932,0.95229,1.3921,0.0414604,0.00646039,0.00646039
7,54.2223,1.16332,0.89232,1.24636,0.96861,0.94175,0.97506,0.65786,1.16178,0.64195,1.10495,0.0315334,0.00753336,0.00753336
8,61.7935,1.17593,0.97273,1.26197,0.91241,0.85437,0.90075,0.58731,1.31721,0.93038,1.29245,0.0215963,0.00859629,0.00859629
9,69.3564,1.20122,0.91557,1.27105,0.907,0.92233,0.95593,0.68748,1.00488,1.20355,1.05924,0.0116476,0.0096476,0.0096476
10,76.9635,1.1718,1.00069,1.27563,0.92814,0.87778,0.9165,0.5908,1.27231,1.34612,1.1624,0.00980345,0.00980345,0.00980345
11,84.5257,1.23334,0.93303,1.28425,0.85529,0.84466,0.90786,0.53311,1.46116,1.46394,1.25774,0.00975773,0.00975773,0.00975773
12,92.1602,1.22173,0.89831,1.26912,0.92153,0.85437,0.91989,0.5837,1.34636,0.85882,1.26732,0.00970736,0.00970736,0.00970736
13,99.7126,1.19225,0.90234,1.26812,0.89992,0.74757,0.83494,0.4635,1.56437,1.19828,1.35681,0.00965239,0.00965239,0.00965239
14,107.35,1.25744,0.94869,1.28375,0.96536,0.81172,0.89061,0.46762,1.58934,1.23634,1.41436,0.00959289,0.00959289,0.00959289
15,114.949,1.24869,0.92395,1.29755,0.89634,0.67165,0.80224,0.471,1.35019,1.37971,1.31761,0.00952889,0.00952889,0.00952889
16,122.595,1.20289,0.94402,1.29028,0.64594,0.5534,0.59349,0.34855,1.53513,1.983,1.49655,0.00946048,0.00946048,0.00946048
17,130.218,1.24603,0.97911,1.32091,0.897,0.71845,0.8095,0.40842,1.80343,1.3866,1.62256,0.00938772,0.00938772,0.00938772
18,137.914,1.22494,0.94582,1.27983,0.79609,0.87181,0.88562,0.56152,1.189,1.36406,1.26465,0.00931067,0.00931067,0.00931067
19,145.518,1.18952,0.93172,1.27697,0.91029,0.91262,0.95317,0.62051,1.21648,1.18662,1.22272,0.00922942,0.00922942,0.00922942
20,153.202,1.18446,0.89215,1.25978,0.89712,0.84661,0.91234,0.56459,1.31848,1.1756,1.30199,0.00914405,0.00914405,0.00914405
21,160.867,1.21696,0.98922,1.30121,0.80662,0.84466,0.86754,0.51386,1.3908,0.98719,1.32376,0.00905463,0.00905463,0.00905463
22,168.517,1.19949,0.85335,1.30806,0.75517,0.83853,0.86038,0.53933,1.33174,1.01493,1.30289,0.00896127,0.00896127,0.00896127
